url,uuid,title,created,changed,field_collection_number,field_date_available,field_date_published,field_dspace_item_id,field_finding_aid,field_unique_id,field_access_rights,field_access_terms,field_copyright_and_use,field_creator,field_digital_publisher,field_genre,field_language,field_member_of,field_model,field_publisher,field_publisher_country,field_resource_type,field_spatial_coverage,field_subject,field_title_language
https://digital.library.jhu.edu/node/12089,cd127adf-4cfd-4b58-8f37-013fe3ab98f3,"Johns Hopkins University News-letter, Volume 34, Number 15 (1929 November 19)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2016-10-17,1929-11-19,d05df0ec-083f-4d95-a09e-563bde4a23ba,https://aspace.library.jhu.edu/repositories/3/resources/1131,230410d4-fed5-4d99-89a3-616a3982866d,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12090,8adec7c6-2f19-4b5e-a04e-319601827a9e,"Johns Hopkins University News-letter, Volume 02, Number 01 (1897 October 14)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2015-10-13,1897-10-14,308c463b-ca61-4d2a-a1f4-64c3625b45f7,https://aspace.library.jhu.edu/repositories/3/resources/1131,d38c5732-a58e-4e93-915b-3a8f03dbb116,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12091,6b54c876-ca73-408e-b7c6-1f3fb6f52523,"Johns Hopkins University News-letter, Volume 34, Number 16 (1929 November 22)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-11-22,b16f7a10-63aa-4192-af1b-aed1d9bf7c16,https://aspace.library.jhu.edu/repositories/3/resources/1131,f9f0e4a1-419e-46fc-bdd7-e0f724752087,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12092,6dfed5d8-d7bd-4722-b876-889d6576a5f5,"Johns Hopkins University News-letter, Volume 02, Number 02 (1897 October 28)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2015-11-06,1897-10-28,6855f2a0-22f9-400c-b12b-2af8734a6651,https://aspace.library.jhu.edu/repositories/3/resources/1131,3df649c2-b313-4416-aad7-c9b4493be518,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12093,56a41fa9-c62d-4586-9307-cbd020a1cbd5,"Johns Hopkins University News-letter, Volume 34, Number 17 (1929 November 26)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-11-26,3d156413-1747-46dd-ace7-e13d13debd33,https://aspace.library.jhu.edu/repositories/3/resources/1131,8b1c0499-7eef-4ee1-a76a-d8c90610f533,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12094,37546e3a-8004-4798-bcaf-35fc3191ee40,"Johns Hopkins University News-letter, Volume 02, Number 03 (1897 November 11)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2015-11-06,1897-11-11,76699694-9f6e-4a4d-9aea-ae350fdc0b1a,https://aspace.library.jhu.edu/repositories/3/resources/1131,c2657f0b-0049-4b62-a2c2-20209500b2af,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12095,4065fda5-724a-404d-bf09-de1e4f7de1ac,"Johns Hopkins University News-letter, Volume 34, Number 18 (1929 December 03)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-12-03,9e00f495-d550-461b-a832-4bada8c20c89,https://aspace.library.jhu.edu/repositories/3/resources/1131,85c155f8-886e-4a26-9b2e-7672aa75b5d9,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12096,a17178d6-ecd8-4fd0-9dfe-cb9b20b467cc,"Johns Hopkins University News-letter, Volume 02, Number 04 (1897 December 02)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2015-11-06,1897-12-02,c598327f-800d-493b-b157-80c16ae94372,https://aspace.library.jhu.edu/repositories/3/resources/1131,68bd5a25-0bb9-4c12-bf1f-babe95284de9,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12097,6ce6b609-7742-4771-b67d-b5d76967137c,"Johns Hopkins University News-letter, Volume 34, Number 19 (1929 December 06)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-12-06,a171f9cb-33b1-4c38-9f46-a9d847f71ab1,https://aspace.library.jhu.edu/repositories/3/resources/1131,5d978b9a-a4ab-4437-90b4-e66c92a463dc,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12098,1c9ab428-be45-4075-b6cf-529089f1c9c0,"Johns Hopkins University News-letter, Volume 02, Number 05 (1897 December 10)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2016-02-25,1897-12-10,0d9057bb-1ba7-4a75-a74c-ab1dca59ad53,https://aspace.library.jhu.edu/repositories/3/resources/1131,60ff5955-ddfa-4b1f-b765-5c2950d9fc41,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12099,f32e751b-4914-463f-81a7-bc35850d19ed,"Johns Hopkins University News-letter, Volume 34, Number 20 (1929 December 10)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-12-10,1c97ee1c-db09-485b-ad6c-3be2abe6821e,https://aspace.library.jhu.edu/repositories/3/resources/1131,23ed21db-0464-49d1-a414-6b09ded0188a,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12100,c8b4c21a-d5f2-486f-91cd-7b1478997188,"Johns Hopkins University News-letter, Volume 02, Number 06 (1897 December 22)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2016-02-25,1897-12-22,4b4fbad7-4084-4836-bc2f-a28c24a30a29,https://aspace.library.jhu.edu/repositories/3/resources/1131,e459f102-2738-4477-8fbc-7b03718247f8,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12101,e57ee8b5-cf09-461d-b473-311a86ea9ed9,"Johns Hopkins University News-letter, Volume 34, Number 21 (1929 December 13)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2017-02-16,1929-12-13,377aca7a-997e-4a50-ac1f-1c2ef4e49641,https://aspace.library.jhu.edu/repositories/3/resources/1131,96e81fe9-6795-498e-9c1f-c7235e6a4fbc,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
https://digital.library.jhu.edu/node/12102,40c917e0-05e6-41e6-8476-97cd3ee389f1,"Johns Hopkins University News-letter, Volume 02, Number 07 (1898 January 06)",2022-03-16T15:55:38+00:00,2022-03-16T15:55:38+00:00,RG.14.050,2016-02-25,1898-01-06,8d7f1b75-7722-4edd-b236-67b52949458d,https://aspace.library.jhu.edu/repositories/3/resources/1131,06e1544a-37e0-4f50-9586-d2f179d9a689,Public digital access,News-Letters,Copyright Not Evaluated,relators:aut:The Johns Hopkins News-Letter,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),English,Johns Hopkins University News-Letter,Digital Document,The Johns Hopkins News-Letter,United States,Text,Maryland--Baltimore,College students--Societies and clubs||College student newspapers and periodicals,English
