url,uuid,title,created,changed,field_collection_number,field_date_available,field_date_published,field_extent,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_access_rights,field_access_terms,field_alternative_title,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_language,field_member_of,field_model,field_publisher,field_resource_type,field_subject,field_title_language,field_contributor,field_featured_item
https://digital.library.jhu.edu/node/12068,b554cc01-9b24-486a-b80c-35554d8d0a6f,"JHU class of 1929, homecoming weekend 1954",2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1952-07-07,00:38:40hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,31151023625332,https://catalyst.library.jhu.edu/catalog/bib_2434394,56716312,d1bcb3b6-6ab9-4488-8848-cfee155f90da,"A silent film showing various events during homecoming weekend at Johns Hopkins University in 1954, features the graduating class of 1929. The festivities begin with the registration of the graduates and their spouses, followed by a banquet highlighted by a speech by Theodore R. McKeldin, Governor of Maryland. The next day the former classmates and their guests attend the JHU lacrosse game against the University of Maryland. That evening there is a formal dinner and dance. The weekend wraps up the next day with an outdoor luncheon. Title from cassette label.",Public digital access,Science Review,Class of 1929||Johns Hopkins University class of 1929,Copyright Not Evaluated,"Filmed during the homecoming weekend at Johns Hopkins University in Baltimore, Md. in 1954. Black and white. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Johns Hopkins University television programs collection,Video,Johns Hopkins University,Moving Image,Johns Hopkins University||Maryland--Baltimore||Universities and colleges--Alumni and alumnae,English,,
https://digital.library.jhu.edu/node/12083,ce0d8379-f8a0-4744-b634-92e7c3e3d936,The university,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1956-06-10,00:24:45hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2434393mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2434393,56715624,0b528813-303d-4f4f-b3df-2bac43d82cdb,"Rising sophomore Larry C. Marxer details his first year experience at The Johns Hopkins University, from the September 10 arrival of new students to the June 12 commencement on the quad. Key people introduced include Dr. Wendell R. Garner, head of the Psychology Dept.; Dr. G. Wilson Shaffer, dean of the Homewood schools; Dr. Robert H. Roy, dean of the engineering school; Irene M. Davis, registrar; William F. Logan, director of administration; P. Stewart Macaulay, provost; Dr. Carl B. Swisher, international law and political science scholar; and three religious advisors. Mergenthaler, Remsen, Gilman, and Shriver Halls and Homewood House are pictured on the 120-acre campus. The freshman orientation week includes an ""eye to toe"" physical exam and a weekend of recreation at the Baltimore YMCA Camp where alumni relations director Osmar P. Steinwald leads the students in a songfest. Of the 400+ Hopkins professors, the following are identified by name: Thomas F. Hubbard, Alsoph H. Corwin, Walter S. Koski, Kemp Malone, Abel Wolman, Alphonse Chapanis, James C. McLaren, and William L. Straus, Jr.",Public digital access,Science Review,,Copyright Not Evaluated,"Filmed at Johns Hopkins University in from Sept. 10, 1956 to June 12, 1957. Black and white. Lynn Poole, producer, writer; Clyde Stallings, director; Leonard Grossman, editor; for Johns Hopkins University, in association with Milner Productions, Baltimore, Md. Larry C. Marxer, presenter. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Johns Hopkins University television programs collection,Video,Johns Hopkins University,Moving Image,Johns Hopkins University||Universities and colleges||Maryland--Baltimore,English,"relators:edt:Grossman, Leonard||relators:drt:Stallings, Clyde||relators:prd:Marxer, Larry C.||relators:pro:Poole, Lynn||relators:pro:Milner Productions||relators:aus:Poole, Lynn",
https://digital.library.jhu.edu/node/11899,d755f420-b52e-468a-be76-c9e6668d3b7a,Industrial designer,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-04-30,00:29:00hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,31151024441747,https://catalyst.library.jhu.edu/catalog/bib_2411056,54771048,94c461ee-2c01-4ee2-87f2-f0872e130ff7,"Raymond Loewy, the Father of Industrial Design, defines his profession as one that designs products for mass production. Simplicity and functionality are key in his designs of packaging, service centers, uniforms, household goods, modes of transportation, and other functions. Mr. Loewy, who came to the United States in 1919, displays some of his product designs such as the Lucky Strike cigarette package, an electric heater with better stability, a bathroom scale with improved legibility, a silent eggbeater, a safe pressure cooker, a bottle with anti-slip grip, inexpensive but tasteful flatware, and other items. He comments on designs typically found in rooms in 1900 and 1926 and shows how they've been improved. His 1951 book, Never leave well enough alone, recommends simplifying goods and improving them to lower their manufacturing costs. Designer of the Studebaker car, Loewy shows cartoons of overdone cars with ""dagmars"" and others influenced by airplane designs.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on April 30, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Raymond Loewy, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Industrial design--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Loewy, Raymond, 1893-1986||relators:prd:Poole, Lynn||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11914,b070684e-0bb7-43ea-9e6f-13c19f930eaa,Medical technologist,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-04-16,00:29:10hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2411055mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2411055,54771035,b26b0f16-70dd-452b-bbc8-9576acaa3629,"As an introduction to this program's career, Lynn Poole notes that it was announced this week that the Salk vaccine is effective in preventing polio. He also points out that in 1890 Dr. M. Cary Thomas was only allowed to attend classes at Johns Hopkins University if she sat behind a screen because she was a woman in a men's institution. But this program features Isabelle Schaub, assistant professor of microbiology at that university and author of the Diagnostic bacteriology textbook. She introduces a number of young women and describes their laboratory job functions in the fields of bacteriology, biochemistry, hematology, serology, and histology. Brief film clips, from the National Committee for Careers in Medical Technology, show the processes of preparing slides of body tissues and studying blood cells under a microscope. Ms. Schaub lists three ways to enter the field: as an entry level lab aid, as a recipient of the American Society of Clinical Pathologists certificate, or as a college graduate.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on April 16, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Isabelle Schaub, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Medical laboratory assistants||Women medical technologists||Medical technology--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Poole, Lynn||relators:prd:Schaub, Isabelle Gilbert||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11919,b64109d2-4244-4064-97bc-a66cc714434c,The metallurgist,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-03-26,00:29:05hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,31151023624467,https://catalyst.library.jhu.edu/catalog/bib_2414064,54859801,fe892d0b-8d26-4a4a-bd3f-eda8ac751a04,"The program opens with a brief history of the evolution of metal and its uses in early tools, utensils, weapons, and ornaments. In 1900 only sixteen kinds of metal were used by American industry, but at the time of this program, there are 321 known metals and alloys. Lynn Poole shows a piece of a new metal, Fiberfrax, that doesn't get hot when heated. Dr. Maddin, associate professor of metallurgy at Johns Hopkins University, discusses the inside of metal and shows a model of atoms in a perfect metal and one with deviations or imperfections. Mr. Poole notes that only 460 metallurgists are being trained in 45 colleges each year but at least three times that number are needed each year for the next ten years. Dr. Hollomon, head of the metallurgy and ceramic research division of General Electric (GE), lists common metal products and discusses how metals, such as titanium alloys, must be made stronger to withstand the higher temperatures occurring at faster jet speeds and to solve the problem of fractured pipelines and ships. There are career opportunities for chemist metallurgists, involving ingots and arch melting; process metallurgists, researching the forces in metals; development metallurgists, testing stresses and corrosion of metals; and research metallurgists, looking inside metals. Dr. Hollomon recommends studying math, physics, and chemistry in high school to begin the path to becoming a metallurgist. Dr. Vannevar Bush, president of the Carnegie Institution, promotes the benefits of this forthcoming Johns Hopkins career series and comments on the applications of modern science to the improvement of life. The pamphlet, ""A Career in Metallurgy,"" is offered to viewers for a postcard.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on March 26, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Robert Maddin, J. Herbert Hollomon, Vannevar Bush, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,History||Metal-work||Metallurgists||Metallurgy--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Bush, Vannevar, 1890-1974||relators:prd:Hollomon, J. Herbert (John Herbert)||relators:prd:Maddin, Robert||relators:prd:Poole, Lynn||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11921,c7c4d3ca-504f-4afe-92b3-d20d068cfc71,Power engineer,2022-03-15T13:41:41+00:00,2022-04-05T13:51:09+00:00,COLL-0008,2021-06-24,1955-05-07,00:29:05hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2414066mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2414066,54859547,a92c613e-053e-4418-8280-67d4260a8ec8,"An opening film explores electricity's timeline: sparks created from rubbed amber, William Gilbert's study of magnetism, Benjamin Franklin's demonstration of lightening as electricity in 1752, Alessandro Volta's first electric battery, and Thomas Edison's 1879 incandescent electric light. Willis Gore, Johns Hopkins University assistant professor of electrical engineering, points out that an engineer both creates or invents and operates what he has produced. He uses a servosystem to demonstrate two branches of electric engineering: communications (electronics) and power (generation and utilization of power). Thomas Trice, superintendent of electrical operations of Baltimore Gas and Electric, says that electrical engineering has emerged as a leading profession as electrical demand has increased dramatically since 1910. A film of the electrical planning process stresses reliability of service, safety, and cost of a design. An electrical power analyzer is shown and explained as are meters and relays designed for accuracy and dependability at the Herbert A. Wagner electric generating station in Baltimore. Another film follows the generation of electricity from the coal pile through an electrical power plant and over wires to various customers. George Bisset, senior vice president of Potomac Electric Power Co. in Washington, DC, discusses the shortage of electrical engineers, noting that atomic energy will not replace electrical energy, and that use will at least double every ten years. He recommends that interested students take physics and math courses and consult a vocational counselor, college, or local electric company for additional advice. The profession offers prestige, satisfaction, and good compensation and working conditions.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on May 7, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Willis C. Gore, Thomas W. Trice, George Bisset, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Electrical engineers||Electrical engineering--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Bisset, George||relators:prd:Gore, Willis C.||relators:prd:Poole, Lynn||relators:prd:Trice, Thomas W.||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11926,590508ec-23bf-45b8-9f77-69a96d495e83,The agricultural chemist,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-05-28,00:29:10hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2414072mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2414072,54859629,db49a4d9-61bc-4523-90b1-4266834f85d9,"After a brief photographic and cartoon history of crop cultivation problems, Lynn Poole touts the variety of jobs and opportunities in chemistry. Dr. Iler, research manager of the Grasselli Chemical Dept. at E. I. duPont de Nemours and Co., defines chemistry and chemical reactions and lists everyday products created from chemical reactions. In agriculture, fertilizers, insecticides, fungicides, herbicides, and feed supplements for livestock and poultry are all chemical creations. The process to develop a new product involves organic chemists; physical chemists; analytical chemists; biologists; chemical, mechanical, and electrical engineers; and often soil chemists and biochemists. A film shows how research results applied to farm production result in greater output with less labor. The goal of agricultural research chemists is to create new knowledge, processes, and products, and improve present ones, for plants and animals. Dr. Iler notes that 90% of all chemicals tested are inadequate. He then explains the steps required to test a new fungicide chemical, beginning with making the chemicals easily mixable with water for spraying on plants and ending with analysis of the resulting fruit with a colorimeter to test for chemical absorption. He also briefly comments on chemicals in cattle dips and sprays to control insects and parasites on livestock. Dr. Iler says that curiosity, a background in math and sciences, and a college degree are necessities to become a chemist or chemical engineer. Mr. Poole makes available the booklet ""Chemistry and the Farmer"" for a postcard.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on May 28, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Ralph K. Iler, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Agricultural chemistry||Medical laboratory assistants||Vocational guidance||Agricultural chemists,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Iler, Ralph K.||relators:prd:Poole, Lynn||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11934,8ba00afb-58b0-44e6-9e04-dc1c9735dbc7,The archaeologist,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-04-02,00:29:05hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2414040mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2414040,54770226,a775feaf-7ba6-48c1-81c5-20a368483b4b,"Archaeology is the recovery and study of the material objects of past civilizations for the purpose of reconstructing these civilizations to study them more fully. Archaeologists put these objects in their proper period and use them to explain the ways of ancient life. Modern archaeology began with Heinrich Schliemann and his discovery of Troy. Dr. Young shows a reconstruction of a farm in ancient Greece and the ruins of a temple at Sounion. At Dura-Europos in Syria, remains of three religions were found, a Christian chapel, a Jewish synagogue, and a temple of the cult of Mithras. Students of archaeology must study the languages and history of the civilizations they are studying along with the technical aspects of archaeology.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on April 2, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Henry T. Rowell, John H. Young, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,"Greece--Soúnio Cape||Civilization, Ancient||Vocational guidance||Archaeology||Syria--Dura-Europos (Extinct city)",English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Poole, Lynn||relators:prd:Rowell, Henry T.||relators:prd:Young, John Howard||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11938,d3d17ec9-e1d5-4d16-9530-af2f833898fe,The teacher,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-06-04,00:29:05hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,mq2414046mmmmm,https://catalyst.library.jhu.edu/catalog/bib_2414046,54770883,0bc50a8b-58b6-4f50-b991-afd5c56ef806,"George Schwartz, a science teacher at Forest Hills High School in Long Island, NY, discusses the teacher shortage and the complexity of the profession. Teaching is more than just being well informed because it involves personal relationships. Mr. Schwartz shows how a teacher must be a showman to demonstrate scientific principles in ways students won't anticipate, such as pulling paper from beneath a full beaker of water to prove the rule of inertia. To prove that a teacher's influence affects eternity, Lynn Poole interviews four of Mr. Schwartz's former students: Dr. Richard Lewontin, an assistant professor of genetics at North Carolina State College; a high school senior and budding herpetologist; a third year medical student at Harvard Medical School; and a freshman majoring in biology at Queens College. All praise their former teacher and explain how he had influenced them. Mr. Schwartz lists the requirements of a good teacher: subject knowledge, love of young people, boundless energy, and self-criticism.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on June 4, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, Mack Edwards, narrators; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, George Schwartz, Richard Lewontin, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Teacher-student relationships||Teaching--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Edwards, Mack||relators:nrt:Jaffee, Ted||relators:prd:Lewontin, Richard C., 1929-||relators:prd:Poole, Lynn||relators:prd:Schwartz, George I.||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
https://digital.library.jhu.edu/node/11940,b543ea17-e9f0-4b27-a945-5184f8142c64,The merchandiser,2022-03-15T13:41:41+00:00,2022-03-15T13:41:41+00:00,COLL-0008,2021-06-24,1955-05-21,00:29:05hh:mm:ss,https://aspace.library.jhu.edu/repositories/3/resources/1109,31151024442257,https://catalyst.library.jhu.edu/catalog/bib_2414048,54859529,59db8492-a1d2-4483-a614-936b80f765e1,"Lynn Poole points out that retailing is the second largest industry in the United States. Albert Hutzler, Jr., president of Hutzler Brothers Co., considers his department store ""careers unlimited"" because of the great opportunities at all levels. He introduces his merchandise manager, Robert Wittington, who discusses various departments, focusing on the fashion buyer and rug buyer. They explain their jobs, which include planning months ahead and anticipating style trends and customers' wants. Mr. Poole talks with a saleswoman who has worked in the linen department for 28 years. The superintendent of advertising, Adelaide Dillehunt, discusses the process of creating a newspaper ad and introduces the department's artist and copywriter, adding that direct mail, radio, magazine, and TV ads are also necessary. The company's display manager explains ""visual merchandise presentation,"" noting the various workshop occupations required to create window and interior displays.",Public digital access,Science Review,,Copyright Not Evaluated,"Originally broadcast as a segment of the television program Tomorrow on May 21, 1955 from the studios of WAAM in Baltimore, Md. Black and white. Lynn Poole, producer; Kennard Calfee, Herbert B. Cahan, directors; Ted Jaffee, narrator; produced by WAAM television station in Baltimore, Md. for the ABC Television Network. Lynn Poole, Albert Hutzler, Robert Wittington, Adelaide Dillehunt, presenters. Digitized in 2004.",Johns Hopkins University. Sheridan Libraries,Educational television programs,English,Tomorrow (Television program),Video,Johns Hopkins University,Moving Image,Advertising--Management||Retail trade||Merchants||Merchandising||Marketing--Vocational guidance,English,"relators:brd:ABC Television Network||relators:drt:Cahan, Herbert B.||relators:drt:Calfee, Kennard||relators:nrt:Jaffee, Ted||relators:prd:Dillehunt, Adelaide||relators:prd:Hutzler, Albert||relators:prd:Poole, Lynn||relators:prd:Wittington, Robert||relators:pro:Poole, Lynn||relators:pro:WAAM (Television station : Baltimore, Md.)",
