taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,revision_log_message,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,corporate_body_alt_name,date,date_of_meeting_or_treaty,location_of_meeting,num_of_section_or_meet,primary_name,subordinate_name,type,unique_id,lcnaf,viaf,authority,description,other,ulan,family_name,title_and_other_words,lcgft,aat,broader,geo_alt_name,fast,geonames,language_code,Library of Congress MARC List for Languages,person_alternate_name,preferred_name_fuller_form,preferred_name_number,preferred_name_prefix,preferred_name_rest,preferred_name_suffix,primary_part_of_name,rightsstatements,external_uri,dcmi_types
taxonomy_term--corporate_body,178,178,en,2021-10-08T20:33:47+00:00,,True,A. H. Grape and Co.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,A. H. Grape and Co.,,,cb1d1051-691a-4728-8039-7443c2217cad,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,179,179,en,2021-10-08T20:33:47+00:00,,True,A. Hoen & Co.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,A. Hoen & Co.,,,df8b2462-1e67-413a-a140-c824e20add74,http://id.loc.gov/authorities/names/n50023560,http://viaf.org/viaf/138342013,http://id.loc.gov/authorities/names/n50023560;lcnaf||http://viaf.org/viaf/138342013;viaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,180,180,en,2021-10-08T20:33:47+00:00,,True,A. Jackson Co.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,A. Jackson Co.,,,f6326e3f-cbf1-43eb-8859-95555baa9973,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,181,181,en,2021-10-08T20:33:47+00:00,,True,ABC Television Network,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,ABC Television Network,,,7cf30c11-94be-455b-a8cd-5714d249e8ee,http://id.loc.gov/authorities/names/n85376652,http://viaf.org/viaf/129083767,http://viaf.org/viaf/129083767;viaf||http://id.loc.gov/authorities/names/n85376652;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,182,182,en,2021-10-08T20:33:47+00:00,,True,ABC-TV Photo Division,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,ABC-TV Photo Division,,,194aa6f9-6025-4408-a3c7-fb2ca72b2ee0,,,,Location information: New York,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,183,183,en,2021-10-08T20:33:47+00:00,,True,Albany Art Union,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Albany Art Union,,,3c7d8648-6f5a-44d1-b11c-af6ece5deb86,http://id.loc.gov/authorities/names/n98015091,http://viaf.org/viaf/123332161,http://viaf.org/viaf/123332161;viaf||http://id.loc.gov/authorities/names/n98015091;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,184,184,en,2021-10-08T20:33:47+00:00,,True,"Alfred A. Knopf, Inc.",0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,"Alfred A. Knopf, Inc.",,,5baecd35-6b2d-41f1-a724-2fb3dd74dabb,http://id.loc.gov/authorities/names/n50062227,http://viaf.org/viaf/142395924,http://viaf.org/viaf/142395924;viaf||http://id.loc.gov/authorities/names/n50062227;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,185,185,en,2021-10-08T20:33:47+00:00,,True,Alman & Co.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Alman & Co.,,,0f8b82ee-5410-49d5-b43a-bf6823d0de6d,http://id.loc.gov/authorities/names/no2009160567,http://viaf.org/viaf/121176577,http://id.loc.gov/authorities/names/no2009160567;lcnaf||http://viaf.org/viaf/121176577;viaf,"Location information: New York City, NY",,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,186,186,en,2021-10-08T20:33:47+00:00,,True,Alpha Epsilon Pi,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Alpha Epsilon Pi,,,cd681aaa-d5c7-4523-ad0e-2d8597197e8d,http://id.loc.gov/authorities/names/n80049530,http://viaf.org/viaf/143063247,http://viaf.org/viaf/143063247;viaf||http://id.loc.gov/authorities/names/n80049530;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,187,187,en,2021-10-08T20:33:47+00:00,,True,American Association of University Women,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,American Association of University Women,,,1fa2cc98-72ad-44a9-89a1-e2e185bd8ab3,http://id.loc.gov/authorities/names/n79100563,http://viaf.org/viaf/140137355,http://viaf.org/viaf/140137355;viaf||http://id.loc.gov/authorities/names/n79100563;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
