taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,lcgft,aat
taxonomy_term--genre,630,630,en,2021-10-08T20:34:19+00:00,True,Atlases,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,b8c0efd2-c384-4016-b42f-c2cdba60903d,http://id.loc.gov/authorities/genreForms/gf2011026058;lcgft,http://id.loc.gov/authorities/genreForms/gf2011026058,
taxonomy_term--genre,631,631,en,2021-10-08T20:34:19+00:00,True,building plans,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,608114dd-b68d-4674-a9df-5ba74f24f8a4,http://vocab.getty.edu/page/aat/300034157;aat,,http://vocab.getty.edu/page/aat/300034157
taxonomy_term--genre,632,632,en,2021-10-08T20:34:19+00:00,True,contact sheets,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,0563641c-0e20-4a04-afc0-a68ef4acf0d1,http://vocab.getty.edu/page/aat/300127183;aat,,http://vocab.getty.edu/page/aat/300127183
taxonomy_term--genre,633,633,en,2021-10-08T20:34:19+00:00,True,documentary photography,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,65f44055-efc5-4f77-9aee-51f6e18f8194,http://vocab.getty.edu/page/aat/300134547;aat,,http://vocab.getty.edu/page/aat/300134547
taxonomy_term--genre,634,634,en,2021-10-08T20:34:19+00:00,True,drawings (visual works),0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,b9c9b25b-fa60-4b34-9c7c-079f4116e1a7,http://vocab.getty.edu/page/aat/300033973;aat,,http://vocab.getty.edu/page/aat/300033973
taxonomy_term--genre,635,635,en,2021-10-08T20:34:19+00:00,True,Educational television programs,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,f181ccb4-f7dc-4834-8af1-a6330b06c7ee,http://id.loc.gov/authorities/genreForms/gf2011026221;lcgft,http://id.loc.gov/authorities/genreForms/gf2011026221,
taxonomy_term--genre,636,636,en,2021-10-08T20:34:19+00:00,True,elevations (orthographic projections),0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,61da532c-2a6d-498e-86a6-590be6949a36,http://vocab.getty.edu/page/aat/300034065;aat,,http://vocab.getty.edu/page/aat/300034065
taxonomy_term--genre,637,637,en,2021-10-08T20:34:19+00:00,True,engravings (prints),0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,106efc1e-061b-4857-9f2c-e484f947f47d,http://vocab.getty.edu/page/aat/300041340;aat,,http://vocab.getty.edu/page/aat/300041340
taxonomy_term--genre,638,638,en,2021-10-08T20:34:19+00:00,True,etchings (prints),0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,46f9900a-12aa-44ac-a9a4-a34362e4415d,http://vocab.getty.edu/page/aat/300041365;aat,,http://vocab.getty.edu/page/aat/300041365
taxonomy_term--genre,639,639,en,2021-10-08T20:34:19+00:00,True,exterior views,0,2021-10-08T20:34:19+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:34:19+00:00,5039fbc1-f43d-4004-97da-17b809238d17,http://vocab.getty.edu/page/aat/300124515;aat,,http://vocab.getty.edu/page/aat/300124515
