taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,date,unique_id,lcnaf,viaf,authority,description,ulan,preferred_name_fuller_form,preferred_name_prefix,preferred_name_rest,preferred_name_suffix,primary_part_of_name
taxonomy_term--person,782,782,en,2021-10-08T20:35:33+00:00,True,A-Ritt-Pix,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,d1588aa4-3ded-4ac5-b20a-0b814b6a5111,,,,,,,,,,A-Ritt-Pix
taxonomy_term--person,783,783,en,2021-10-08T20:35:33+00:00,True,A.C.,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,d2b524d1-f22b-4964-bf75-f7e50e994e97,,,,,,,,,,A.C.
taxonomy_term--person,784,784,en,2021-10-08T20:35:33+00:00,True,A.D.,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,2fca9349-28c1-4d95-8df0-a66208b6275c,,,,,,,,,,A.D.
taxonomy_term--person,785,785,en,2021-10-08T20:35:33+00:00,True,A.R.,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,8f6314df-ff31-4bc6-8fb7-880bc5702ce6,,,,,,,,,,A.R.
taxonomy_term--person,786,786,en,2021-10-08T20:35:33+00:00,True,A.Z.,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,3470c131-e3df-4f8d-b0ba-12b2085e5ac8,,,,,,,,,,A.Z.
taxonomy_term--person,787,787,en,2021-10-08T20:35:33+00:00,True,"Abernathy, Frances",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,cc47c845-fb9e-4711-82b7-91975c13d394,,,,,,,,Frances,,Abernathy
taxonomy_term--person,788,788,en,2021-10-08T20:35:33+00:00,True,"Abernathy, Ralph, 1926-1990",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,1926/1990,b4f66ef4-093e-4ebe-bf73-310d9a820fbe,http://id.loc.gov/authorities/names/n87870916,http://viaf.org/viaf/92869358,http://viaf.org/viaf/92869358;viaf||http://id.loc.gov/authorities/names/n87870916;lcnaf,,,,,Ralph,,Abernathy
taxonomy_term--person,789,789,en,2021-10-08T20:35:33+00:00,True,"Abrams, Talbert",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,4f53bef9-f9b4-41fd-aae9-7ca01b682410,,,,,,,,Talbert,,Abrams
taxonomy_term--person,790,790,en,2021-10-08T20:35:33+00:00,True,"Adams, Henry C. (Henry Carter), 1851-1921",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,1851/1921,c650ea2c-6352-401a-bc6a-632d37feddd9,http://id.loc.gov/authorities/names/n50036849,http://viaf.org/viaf/79256580,http://viaf.org/viaf/79256580;viaf||http://id.loc.gov/authorities/names/n50036849;lcnaf,,,Henry Carter,,Henry C.,,Adams
taxonomy_term--person,791,791,en,2021-10-08T20:35:33+00:00,True,"Adams, Herbert B. (Herbert Baxter), 1850-1901",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,1850/1901,540dc114-e53e-427b-8d6d-d8b070d83194,http://id.loc.gov/authorities/names/n50036850,http://viaf.org/viaf/49346809,http://viaf.org/viaf/49346809;viaf||http://id.loc.gov/authorities/names/n50036850;lcnaf,,,Herbert Baxter,,Herbert B.,,Adams
taxonomy_term--person,792,792,en,2021-10-08T20:35:33+00:00,True,"Adlewilz, S. S.",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,582fd0b7-8faa-4616-a580-58d8efa9a547,,,,,,,,S. S.,,Adlewilz
taxonomy_term--person,793,793,en,2021-10-08T20:35:33+00:00,True,"Adorno, Theodor W., 1903-1969",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,1903/1969,ab32a6ef-1afd-4825-8fe0-9e32c418397e,http://id.loc.gov/authorities/names/n80002956,http://viaf.org/viaf/95247377,http://viaf.org/viaf/95247377;viaf||http://id.loc.gov/authorities/names/n80002956;lcnaf,,,,,Theodor W.,,Adorno
taxonomy_term--person,794,794,en,2021-10-08T20:35:33+00:00,True,Ahnaz,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,df5fda9a-76be-42cf-86e1-fef38f25730f,,,,,,,,,,Ahnaz
taxonomy_term--person,795,795,en,2021-10-08T20:35:33+00:00,True,Al Cohen,0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,fcb00cf8-1c08-41b8-b291-8904c18a4247,,,,,,,,,,Al Cohen
taxonomy_term--person,796,796,en,2021-10-08T20:35:33+00:00,True,"Alavi, Hedy",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,343603c6-dc89-4b55-9a03-9d80863cb290,,,,,,,,Hedy,,Alavi
taxonomy_term--person,797,797,en,2021-10-08T20:35:33+00:00,True,"Albert, Ramona",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,83466ed9-4a2d-4a8f-a02c-1dca9b686b11,,,,,,,,Ramona,,Albert
taxonomy_term--person,798,798,en,2021-10-08T20:35:33+00:00,True,"Albright, William Foxwell, 1891-1971",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,1891/1971,4bf8e557-fb7e-4143-895f-d0d91403b6a3,http://id.loc.gov/authorities/names/n50041030,http://viaf.org/viaf/35520,http://viaf.org/viaf/35520;viaf||http://id.loc.gov/authorities/names/n50041030;lcnaf,,,,,William Foxwell,,Albright
taxonomy_term--person,799,799,en,2021-10-08T20:35:33+00:00,True,"Alexander, Anne",0,2021-10-08T20:35:33+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:33+00:00,,f76941a1-3f36-4b19-940c-2f4a5a48100e,,,,,,,,Anne,,Alexander
