taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,fast
taxonomy_term--subject,2297,2297,en,2021-10-08T20:37:14+00:00,True,3-D television,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,de2da0c2-6b35-4ba5-9249-279e14319464,http://id.worldcat.org/fast/1758774;fast,http://id.worldcat.org/fast/1758774
taxonomy_term--subject,2298,2298,en,2021-10-08T20:37:14+00:00,True,Ability--Testing,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,60538120-152a-415c-9dc9-77358a355385,http://id.worldcat.org/fast/794404;fast,http://id.worldcat.org/fast/794404
taxonomy_term--subject,2299,2299,en,2021-10-08T20:37:14+00:00,True,Abolitionists,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,789c4f57-accc-4d99-a1c8-dcea7401a170,http://id.worldcat.org/fast/794478;fast,http://id.worldcat.org/fast/794478
taxonomy_term--subject,2300,2300,en,2021-10-08T20:37:14+00:00,True,Academic achievement,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,111cc32f-7e93-426c-ac53-6c014bd599e3,http://id.worldcat.org/fast/794949;fast,http://id.worldcat.org/fast/794949
taxonomy_term--subject,2301,2301,en,2021-10-08T20:37:14+00:00,True,Academic librarians,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,b487a4a5-089f-412e-ab5b-24ec356a7765,http://id.worldcat.org/fast/794993;fast,http://id.worldcat.org/fast/794993
taxonomy_term--subject,2302,2302,en,2021-10-08T20:37:14+00:00,True,Academic libraries,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,a0a10f7c-2e48-40e8-939c-03d909705016,http://id.worldcat.org/fast/794997;fast,http://id.worldcat.org/fast/794997
taxonomy_term--subject,2303,2303,en,2021-10-08T20:37:14+00:00,True,Academic libraries--Departmental libraries,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,3da555ce-ff6e-4773-b2f9-c859d358f148,http://id.worldcat.org/fast/795032;fast,http://id.worldcat.org/fast/795032
taxonomy_term--subject,2304,2304,en,2021-10-08T20:37:14+00:00,True,Academic medical centers--Administration,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,a1a7b1ca-3381-4e88-871a-329e16a347ed,http://id.worldcat.org/fast/795080;fast,http://id.worldcat.org/fast/795080
taxonomy_term--subject,2305,2305,en,2021-10-08T20:37:14+00:00,True,Academic medical centers--Finance,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,5777fa77-6ed3-455d-8cc2-5c8733bcf4ff,http://id.worldcat.org/fast/795082;fast,http://id.worldcat.org/fast/795082
taxonomy_term--subject,2306,2306,en,2021-10-08T20:37:14+00:00,True,Academic theses,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,2e5a8436-c23e-4575-94cd-cb6a60d88670,http://id.worldcat.org/fast/1726453;fast,http://id.worldcat.org/fast/1726453
